Device Name,D2 - 2635257,,,,,,,,,,,
Device Model,Kestrel DROP 2,,,,,,,,,,,
Serial Number,2635257,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
YYYY-MM-DD HH:MM:SS,°F,%,°F,°F,,,,,,,,
"Jul 28, 2021 / 1:30:00 PM",77,51.7,76.1,57.8,point,,,,,,,
"Jul 28, 2021 / 1:40:00 PM",75.7,48.6,74.3,55,point,,,,,,,
"Jul 28, 2021 / 1:41:05 PM",75.5,48.3,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:41:10 PM",75.5,48.3,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:41:15 PM",75.5,48.3,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:41:20 PM",75.5,48.3,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:41:25 PM",75.5,48.3,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:41:30 PM",75.5,48.3,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:41:35 PM",75.5,48.3,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:41:40 PM",75.5,48.2,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:41:45 PM",75.5,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:41:50 PM",75.4,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:41:55 PM",75.5,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:00 PM",75.4,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:05 PM",75.4,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:10 PM",75.5,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:15 PM",75.5,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:20 PM",75.4,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:25 PM",75.4,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:30 PM",75.4,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:35 PM",75.4,48.2,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:40 PM",75.4,48.3,73.9,54.5,point,,,,,,,
"Jul 28, 2021 / 1:42:45 PM",75.4,48.4,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:42:50 PM",75.4,48.4,74.1,54.6,point,,,,,,,
"Jul 28, 2021 / 1:42:55 PM",75.4,48.5,74.1,54.6,point,,,,,,,
"Jul 28, 2021 / 1:43:00 PM",75.3,48.6,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:43:05 PM",75.3,48.6,73.9,54.6,point,,,,,,,
"Jul 28, 2021 / 1:43:10 PM",75.3,48.7,73.9,54.7,point,,,,,,,
"Jul 28, 2021 / 1:43:15 PM",75.4,48.8,74.1,54.8,point,,,,,,,
"Jul 28, 2021 / 1:43:20 PM",75.3,48.8,73.9,54.8,point,,,,,,,
"Jul 28, 2021 / 1:43:25 PM",75.3,48.9,73.9,54.8,point,,,,,,,
"Jul 28, 2021 / 1:43:30 PM",75.3,48.9,73.9,54.8,point,,,,,,,
"Jul 28, 2021 / 1:43:35 PM",75.3,48.9,73.9,54.8,point,,,,,,,
"Jul 28, 2021 / 1:43:40 PM",75.3,49,73.9,54.8,point,,,,,,,
"Jul 28, 2021 / 1:43:45 PM",75.3,49,73.9,54.8,point,,,,,,,
"Jul 28, 2021 / 1:43:50 PM",75.3,49.1,73.9,54.9,point,,,,,,,
"Jul 28, 2021 / 1:43:55 PM",75.3,49.1,73.9,54.9,point,,,,,,,
"Jul 28, 2021 / 1:44:00 PM",75.3,49.2,73.9,54.9,point,,,,,,,
"Jul 28, 2021 / 1:44:05 PM",75.3,49.2,73.9,54.9,point,,,,,,,
"Jul 28, 2021 / 1:44:10 PM",75.2,49.2,73.9,54.9,point,,,,,,,
"Jul 28, 2021 / 1:44:15 PM",75.2,49.3,73.9,54.9,point,,,,,,,
"Jul 28, 2021 / 1:44:20 PM",75.2,49.3,73.9,55,point,,,,,,,
"Jul 28, 2021 / 1:44:25 PM",75.3,49.4,73.9,55,point,,,,,,,
"Jul 28, 2021 / 1:44:30 PM",75.3,49.5,73.9,55.1,point,,,,,,,
"Jul 28, 2021 / 1:44:35 PM",75.2,49.5,73.9,55.1,point,,,,,,,
"Jul 28, 2021 / 1:44:40 PM",75.3,49.6,73.9,55.1,point,,,,,,,
"Jul 28, 2021 / 1:44:45 PM",75.2,49.7,73.8,55.1,point,,,,,,,
"Jul 28, 2021 / 1:44:50 PM",75.2,49.8,73.8,55.1,point,,,,,,,
"Jul 28, 2021 / 1:44:55 PM",75.2,49.8,73.8,55.2,point,,,,,,,
"Jul 28, 2021 / 1:45:00 PM",75.2,49.9,73.8,55.2,point,,,,,,,
"Jul 28, 2021 / 1:45:05 PM",75.2,49.9,73.9,55.3,point,,,,,,,
"Jul 28, 2021 / 1:45:10 PM",75.2,50,73.9,55.3,point,,,,,,,
"Jul 28, 2021 / 1:45:15 PM",75.2,50.1,73.9,55.3,point,,,,,,,
"Jul 28, 2021 / 1:45:20 PM",75.2,50.1,73.9,55.3,point,,,,,,,
"Jul 28, 2021 / 1:45:25 PM",75.2,50.2,73.9,55.4,point,,,,,,,
"Jul 28, 2021 / 1:45:30 PM",75.2,50.3,73.9,55.4,point,,,,,,,
"Jul 28, 2021 / 1:45:35 PM",75.1,50.4,73.9,55.5,point,,,,,,,
"Jul 28, 2021 / 1:45:40 PM",75.1,50.4,73.9,55.5,point,,,,,,,
"Jul 28, 2021 / 1:45:45 PM",75.1,50.4,73.9,55.5,point,,,,,,,
"Jul 28, 2021 / 1:45:50 PM",75.1,50.5,73.9,55.5,point,,,,,,,
"Jul 28, 2021 / 1:45:55 PM",75.1,50.5,73.9,55.5,point,,,,,,,
"Jul 28, 2021 / 1:46:00 PM",75.1,50.6,73.9,55.6,point,,,,,,,
